City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
207,Cidreira,BR,2020-02-20 21:35:26,-30.18,-50.21,74.39,79,0,25.32
208,Katsuura,JP,2020-02-20 21:35:26,35.13,140.3,46.4,65,20,10.29
209,Saint-Pierre,RE,2020-02-20 21:35:26,-21.34,55.48,77.0,73,75,8.05
210,Airai,TL,2020-02-20 21:35:26,-8.93,125.41,66.94,91,80,4.59
211,Pitsunda,GE,2020-02-20 21:35:27,43.16,40.34,41.0,93,100,6.71
212,Yulara,AU,2020-02-20 21:35:27,-25.24,130.99,73.4,23,0,6.93
213,Zeya,RU,2020-02-20 21:35:27,53.75,127.27,-16.1,90,0,3.11
214,Sonoita,MX,2020-02-20 21:35:27,31.85,-112.83,73.99,27,11,1.01
215,Portsmouth,GB,2020-02-20 21:35:28,50.8,-1.09,41.0,80,0,5.82
216,Minot,US,2020-02-20 21:34:39,48.23,-101.3,39.2,38,1,14.99
217,Bergama,TR,2020-02-20 21:35:28,39.12,27.18,51.8,81,75,16.11
218,Nuuk,GL,2020-02-20 21:35:28,64.18,-51.72,6.8,77,40,9.17
219,Salalah,OM,2020-02-20 21:32:10,17.02,54.09,77.0,69,75,5.82
220,Acajutla,SV,2020-02-20 21:31:29,13.59,-89.83,96.8,22,0,4.7
221,Celestun,MX,2020-02-20 21:35:29,20.87,-90.4,77.32,83,0,17.02
222,Koutsouras,GR,2020-02-20 21:35:29,35.03,25.95,55.99,64,6,5.99
223,Betioky,MG,2020-02-20 21:35:29,-23.72,44.38,77.74,83,61,2.98
224,Wagar,SD,2020-02-20 21:35:30,16.15,36.2,65.61,60,5,10.27
225,Avera,US,2020-02-20 21:35:30,33.19,-82.53,42.8,93,90,10.29
226,Totoro,CO,2020-02-20 21:35:30,2.51,-76.4,62.6,90,100,1.9
227,Nerchinskiy Zavod,RU,2020-02-20 21:35:30,51.31,119.61,2.05,89,100,3.22
228,Waitati,NZ,2020-02-20 21:35:31,-45.75,170.57,61.0,92,100,17.18
229,Kansk,RU,2020-02-20 21:35:31,56.2,95.72,17.76,84,58,10.36
230,Miri,MY,2020-02-20 21:35:31,4.41,114.01,77.0,100,75,8.05
231,Saldanha,ZA,2020-02-20 21:35:32,-33.01,17.94,66.2,72,0,13.87
232,Rochegda,RU,2020-02-20 21:35:32,62.8,43.25,9.97,93,0,2.71
233,Sangmelima,CM,2020-02-20 21:35:32,2.93,11.98,77.29,57,100,1.97
234,Sur,OM,2020-02-20 21:35:32,22.57,59.53,70.59,46,87,12.21
235,Coquimbo,CL,2020-02-20 21:35:32,-29.95,-71.34,64.4,77,75,11.41
236,Bure,ET,2020-02-20 21:35:33,10.7,37.07,66.87,28,10,4.94
237,Dikson,RU,2020-02-20 21:35:33,73.51,80.55,-2.0,94,3,14.27
238,Saskylakh,RU,2020-02-20 21:35:33,71.92,114.08,-18.9,99,90,3.42
239,Sao Luiz Gonzaga,BR,2020-02-20 21:35:33,-28.41,-54.96,83.62,52,0,12.91
240,Poum,NC,2020-02-20 21:35:34,-20.23,164.02,80.64,78,0,12.17
241,Mandera,KE,2020-02-20 21:35:34,3.94,41.87,92.39,25,61,10.16
242,Tiarei,PF,2020-02-20 21:35:34,-17.53,-149.33,86.0,66,20,11.41
243,Gamba,GA,2020-02-20 21:35:34,-2.65,10.0,79.93,82,78,5.32
244,Vila Velha,BR,2020-02-20 21:33:50,-20.33,-40.29,84.0,78,35,14.99
245,Port Elizabeth,ZA,2020-02-20 21:35:35,-33.92,25.57,68.0,88,32,13.87
246,Bartica,GY,2020-02-20 21:35:35,6.4,-58.62,82.4,69,40,16.11
247,Kysyl-Syr,RU,2020-02-20 21:35:35,63.9,122.76,5.27,96,100,5.21
248,Santa Isabel Do Rio Negro,BR,2020-02-20 21:35:35,-0.41,-65.02,92.79,46,85,2.1
249,Karwar,IN,2020-02-20 21:35:35,14.8,74.13,74.8,74,0,3.76
250,Ndele,CF,2020-02-20 21:35:36,8.41,20.65,82.51,20,30,8.75
251,Conceicao Do Araguaia,BR,2020-02-20 21:35:36,-8.26,-49.26,71.6,100,100,6.93
252,Muros,ES,2020-02-20 21:35:36,42.78,-9.06,54.0,93,90,6.93
253,Aswan,EG,2020-02-20 21:35:36,24.09,32.91,58.46,32,0,10.65
254,Chumikan,RU,2020-02-20 21:35:36,54.72,135.31,-1.32,82,0,7.78
255,Eureka,US,2020-02-20 21:35:37,40.8,-124.16,60.01,66,1,3.36
256,Awbari,LY,2020-02-20 21:35:37,26.59,12.78,56.53,32,0,8.41
257,Karpathos,GR,2020-02-20 21:35:37,35.51,27.21,57.2,82,73,23.04
258,Santa Cruz,BO,2020-02-20 21:34:46,-17.8,-63.17,84.2,74,75,10.29
259,Itacare,BR,2020-02-20 21:35:38,-14.28,-39.0,84.2,79,0,6.93
260,Zhezkazgan,KZ,2020-02-20 21:35:38,47.8,67.71,16.11,88,100,8.23
